Date,Title,Review,Rating
21 August 2005,Stand out Thriller thanks to Fine Cast.,"Detective Lt. William Somerset (Morgan Freeman) is about to retire. He is teamed up with a young new detective David Mills (Brad Pitt). Together they try to find a serial killer who uses the seven deadly sins as his M.O. Meanwhile Mills' wife Tracy (Gwyneth Paltrow) fears for her husband's life and is very depressed.

Dark and depressing but just fascinating. Director David Fincher shots the entire film in dim light and shoves the victims mutilated bodies in our face. The grimness of the tone wears you down but that's appropriate considering the subject matter. No humor either. It all leads to a truly harrowing ending. There was supposed to be a happy ending but they (wisely) chose not to do it. Freeman and Pitt work very well together and both give excellent performances. I even thought Paltrow (who I hate) was good! Kevin Spacey is very good too in a small role.

If you have trouble with blood, gore and disturbing subject matter stay far away from this movie. But if you can handle that, watch this one. It's depressing and unpleasant but riveting.",10
20 June 2002,Modern Masterpiece!!,"Gothic, shocking, suspenseful, disturbing and clever, `Seven' marked a new beginning for director David Fincher's career. This dark tale of murder and crime revolves around two detectives in present New York city played by two brilliant actors `Brad Pitt' and `Morgan Freeman' who are paired together to solve a puzzle of murder that is at the hands of a man who kills regarding to the seven deadly sins. Both actors displayed striking performances that are so sharp and realistic sometimes you have to remind yourself that's its all acting.

David Fincher's masterpiece really gives us an opportunity of a lifetime, maybe it's one that we don't all wish to share, but by seeing this movie you will experience a glimpse of the horrors that this world is filled with, and a small piece of mind of a man who you only prey you never have to meet.

Brad Pitt successfully proves to us that he's not just a pretty face on screen, and that he sinks into his character so well, that you can walk off after the film finishes classifying him as a pretty darn good actor.

You wouldn't expect anything else from Morgan Freeman because it's perfectly obvious that this guy was born to play the roles of the smart detective.

David Fincher's timeless directing and memorable filming captures all the goods that this film has to offer and will undoubtedly leave you shocked and begging for more films like this. Seven is a step into the harsh realities of life, a realistic portrayal of two detectives investigation into the un-describable horrific world murder, and the darkest realms of the human soul.

We can only prey for more classic memorable work from Mr. Fincher and for those future directors who are intent on making a gothic, psychological thriller, make sure you sit down and watch Seven with a pen and paper ready to take notes.",10
16 August 1999,Superbly crafted drama delves into darkest corners of the psyche,"David Fincher's bleak, relentless, and ultimately terrifying crime thriller Seven transcends other films of the genre with incredible plotting (the sort Hitchcock might employ were he alive and making films in the 1990s) and scalding intelligence. With only a small handful of minor flaws -- the overly familiar retiring cop/young cop pairing; the awful ""I'm taking you off the case!"" cliche seemingly required by the genre; one giant lapse in logic in the downward spiral toward the conclusion that cannot be revealed without ruining the script's gruesome surprise -- Seven typically keeps its viewers imprisoned in their seats with a combination of morbid fascination and abject fear. Despite attempts by studio executives to alter Andrew Kevin Walker's ending, the filmmaking team prevailed and audiences experienced that rare treat of mainstream cinema: an uncompromising vision.
143 out of 184 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
29 March 2002,Simply one of the darkest and best thrillers of the 1990's  but don't let anyone spoil it for you.....,"`Days from retirement' Detective Somerset is teamed with new-to-the-city Detective Mills to investigate a murder that quickly becomes a series. Somerset realises that the killer must be smart and is using classic literature to model his killings on the seven deadly sins, however Mills finds to hard to see him as anything other than a crazy man. With the killer close to completing his work, Mills and Somerset begin to close in on him. However nothing is as it seems in a dark depressing city full of moral degradation and apathy.

When David Fincher came onto the scene with his debut feature Alien3 the world only paused to scorn a film that didn't fit in with the Alien franchise. Yes it wasn't a great film  but I loved the sense of mood, the dark the tension in the shadows that Fincher created. Years later we have Se7en, Fight Club, The Game, and at people are getting Fincher!

Se7en was his major break through  where his dark visions also reaped box-office gold. The story doesn't sound like much  mismatched partners (one young, cocky and reckless  the other a few days from retirement) go after a serial killer who is carrying out a series of twisted murders..it sounds like Lethal Weapon meets a straight to video thriller. But happily it rises above that by so much it's unbelievable.it certainly shows how a story put in good hands can work out. From the start we are entombed in mood  the city where it always rains, the uncaring people etc. The we begin to find murders  but Fincher doesn't show us the murders, he lets us see the aftermath in the shadows and lets us imagine the rest  Genius!

What you don't see is more gory than what you do. Meanwhile the tension is cranked up to fever pitch as the race to catch the killer is accelerated. When we meet the killer, the film just gets betterright up to an ending that is simply one of the most logical, emotional and gripping endings I've ever seen. I promise you'll leave the cinema shell shocked.

Freeman is excellent as Somerset  so good that it's a role he's tried to do again in `Kiss the girls' etc. But here he is the perfect foil for both Mills and the killer. Brad Pitt is also superb....he isn't allowed to trade on his looks here and does very well in a film that has little opportunity for him to pander to his female fans  he spends a lot of it looking beaten up. Paltrow is OK with what she has  but this isn't really a film that focuses on female roles. R. Lee Ermey is as good as ever and it's a sign of how good the cast is that actors of the stature of Charles Dutton and John C McGinley are basically in roles that barely count as cameos.

However the best performance is from Kevin Spacey in the years before he became an Oscar lovie and stopped doing bad guys or dark characters. He is only on screen for a small portion of the film but his dialogue is superb and he delivers it faultlessly. In the scene where he shares a car ride with Mills and Somerset you literally hang on his every word. However alongside Spacey Fincher stands triumphant with his dark vision given the perfect story and perfect actors.

At heart this is a cop thriller  but excellent performances, excellent mood and a moral lesson from an excellent Spacey make this quite simply the most jaw-droppingly excellent thriller of the 1990's.",
31 December 2012,Fincher's Se7en is a classic crime story which can rival the likes of Silence of the Lambs,"Detective Lt. William Somerset (Morgan Freeman) is about to retire. He is teamed up with a young new detective David Mills (Brad Pitt). Together they try to find a serial killer who uses the seven deadly sins as his M.O. Meanwhile Mills' wife Tracy (Gwyneth Paltrow) fears for her husband's life and is very depressed.

Dark and depressing but just fascinating. Director David Fincher shots the entire film in dim light and shoves the victims mutilated bodies in our face. The grimness of the tone wears you down but that's appropriate considering the subject matter. No humor either. It all leads to a truly harrowing ending. There was supposed to be a happy ending but they (wisely) chose not to do it. Freeman and Pitt work very well together and both give excellent performances. I even thought Paltrow (who I hate) was good! Kevin Spacey is very good too in a small role.

If you have trouble with blood, gore and disturbing subject matter stay far away from this movie. But if you can handle that, watch this one. It's depressing and unpleasant but riveting.",10
24 August 2020,"David Fincher Strikes Again, With An Unwavering Thriller That Strikes Straight To The Heart","Pros: 1. The score is beautifully ominous which only deepens the thrilling and unsettling atmosphere. 2. Brad Pitt (Mills), Morgan Freeman (Somerset), and Kevin Spacey (John Doe) give amazing performances. 3. The colour palette being dark and monotone helps to cement the gloomy and grim tone. 4. The gore and practical effects are immense and they still stand up 25 years later. The sloth, lust, and gluttony murders, in particular, stick in mind. 5. The great cinematography knows when to pull the camera back, as well as to draw it close for great effect. 6. Both Morgan Freeman and Brad Pitt have great chemistry together. 7. The back-and-forth between Somerset, Mills, and John Doe in the police car is one of the most intense and captivating scenes in the history of cinema. 8. The movie presents the interesting and complex moral quandary of: is it immoral to kill the immoral? Even if those immoral people adversely affect other people? And who gets to decide who is immoral, and what punishment should be meted out to them? 9. Despite the underdeveloped character of Tracy (Gwyneth Paltrow), the conclusion is still one of the hardest hitting and iconic endings ever created.

Cons: 1. Tracy is a severely underdeveloped character, with her pregnancy-confessing scene to Somerset feeling lazily forced to add weight to the final scene.",9
14 January 2008,Se7en gruesome chapters of a killer's manifesto...,"Detective Lt. William Somerset (Morgan Freeman) is about to retire. He is teamed up with a young new detective David Mills (Brad Pitt). Together they try to find a serial killer who uses the seven deadly sins as his M.O. Meanwhile Mills' wife Tracy (Gwyneth Paltrow) fears for her husband's life and is very depressed.

Dark and depressing but just fascinating. Director David Fincher shots the entire film in dim light and shoves the victims mutilated bodies in our face. The grimness of the tone wears you down but that's appropriate considering the subject matter. No humor either. It all leads to a truly harrowing ending. There was supposed to be a happy ending but they (wisely) chose not to do it. Freeman and Pitt work very well together and both give excellent performances. I even thought Paltrow (who I hate) was good! Kevin Spacey is very good too in a small role.

If you have trouble with blood, gore and disturbing subject matter stay far away from this movie. But if you can handle that, watch this one. It's depressing and unpleasant but riveting.",10
13 March 2017,"20+ years later, I watched it again","Detective Lt. William Somerset (Morgan Freeman) is about to retire. He is teamed up with a young new detective David Mills (Brad Pitt). Together they try to find a serial killer who uses the seven deadly sins as his M.O. Meanwhile Mills' wife Tracy (Gwyneth Paltrow) fears for her husband's life and is very depressed.

Dark and depressing but just fascinating. Director David Fincher shots the entire film in dim light and shoves the victims mutilated bodies in our face. The grimness of the tone wears you down but that's appropriate considering the subject matter. No humor either. It all leads to a truly harrowing ending. There was supposed to be a happy ending but they (wisely) chose not to do it. Freeman and Pitt work very well together and both give excellent performances. I even thought Paltrow (who I hate) was good! Kevin Spacey is very good too in a small role.

If you have trouble with blood, gore and disturbing subject matter stay far away from this movie. But if you can handle that, watch this one. It's depressing and unpleasant but riveting.",9
24 September 2015,Fincher At His Finest!,"David Fincher has made remarkable films throughout his career, but 'Se7en' finds him at his FINEST! This neo-noir psychological-thriller, is an astonishing piece of Cinema. I was mesmerized.

'Se7en' Synopsis: Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.

'Se7en' is a Masterstroke from start to end. A dark, moody, violent & utterly gripping story, that keeps you at the edge-of-your-seat. There isn't a single dull moment in this blockbuster, in fact, the tale gets more & more intriguing as it progresses.

Andrew Kevin Walker's Screenplay is Ace. It's a spine-chilling tale about two heroes out to get a psychotic killer. The Writing grips you from the moment it begins & refuses to let you go. Fincher's Direction is incredible. The way he has handled this twisted story, deserves an ovation. Darius Khondji's Cinematography is flawlessly done. Richard Francis-Bruce's Editing is tight. Action-Sequences are mind-blowing. Howard Shore's Score is perfect.

Performance-Wise: Morgan Freeman is at his understated best. The Oscar-Winning Legend delivers a master-class act here, that ranks amongst his finest to date. Brad Pitt is in terrific form, adding depth & anger to his part. Kevin Spacey is loathsome to the core in his creepy portrayal of the wicked villain. Gwyneth Paltrow is wonderful in a brief, yet important role.

On the whole, 'Se7en' is a film to die for. Two Big Thumbs Up!",10
10 March 2007,One Of The Greatest Thrillers Of All-Time,"Detective Lt. William Somerset (Morgan Freeman) is about to retire. He is teamed up with a young new detective David Mills (Brad Pitt). Together they try to find a serial killer who uses the seven deadly sins as his M.O. Meanwhile Mills' wife Tracy (Gwyneth Paltrow) fears for her husband's life and is very depressed.

Dark and depressing but just fascinating. Director David Fincher shots the entire film in dim light and shoves the victims mutilated bodies in our face. The grimness of the tone wears you down but that's appropriate considering the subject matter. No humor either. It all leads to a truly harrowing ending. There was supposed to be a happy ending but they (wisely) chose not to do it. Freeman and Pitt work very well together and both give excellent performances. I even thought Paltrow (who I hate) was good! Kevin Spacey is very good too in a small role.

If you have trouble with blood, gore and disturbing subject matter stay far away from this movie. But if you can handle that, watch this one. It's depressing and unpleasant but riveting.",10
15 September 2007,"""This isn't going to have a happy ending.""","Detective Lt. William Somerset (Morgan Freeman) is about to retire. He is teamed up with a young new detective David Mills (Brad Pitt). Together they try to find a serial killer who uses the seven deadly sins as his M.O. Meanwhile Mills' wife Tracy (Gwyneth Paltrow) fears for her husband's life and is very depressed.

Dark and depressing but just fascinating. Director David Fincher shots the entire film in dim light and shoves the victims mutilated bodies in our face. The grimness of the tone wears you down but that's appropriate considering the subject matter. No humor either. It all leads to a truly harrowing ending. There was supposed to be a happy ending but they (wisely) chose not to do it. Freeman and Pitt work very well together and both give excellent performances. I even thought Paltrow (who I hate) was good! Kevin Spacey is very good too in a small role.

If you have trouble with blood, gore and disturbing subject matter stay far away from this movie. But if you can handle that, watch this one. It's depressing and unpleasant but riveting.",9
15 May 2015,beautiful darkness,"Somerset (Morgan Freeman) is a wearied homicide detective. Mills (Brad Pitt) worked hard to transfer to the troubled precinct. He's married to Tracy (Gwyneth Paltrow). There is a serial killer on the loose delivering his sermon on the Seven Deadly Sins. Somerset is tired of the city. Mills is eager to investigate.

Director David Fincher has filled with beautiful darkness. It's more than just the gruesome murders. It's the rain, the music score and the grungy setting. Fincher has weaved together an artistic masterpiece. Freeman is the perfect grizzled veteran. Brad Pitt is a terrific eager newcomer. There are surprising comedy sprinkled in. The final twist is simply cinematic history. The big line is awesome. Pitt delivers it perfectly with so much heart aching pleading. Some do deride its grotesque gloom but that's like complaining about a movie being too funny or too exciting. This is suppose to be dark and it achieves it.
12 out of 15 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
24 March 2015,Se7en is a Sinfully Enthralling Thriller!,"Se7en is a nerve-jangling thriller, hauntingly shot by visionary director David Fincher, who crafts one of the most iconic films of all time.

Se7en tells the tale of a grisly serial killer who is twisted on delivering a sermon against modern depravity. He murders his victims to atone for the sins he deems them to have committed; his crimes echo the seven deadly sins namely gluttony, greed, sloth, envy, pride, wrath and lust. Tracking this gruesome killer (played with a quiet insanity that makes your flesh crawl, by an actor par excellence – no spoilers here!) is a cliché pair of cops. There's the jaded veteran Detective Lieutenant Somerset (Morgan Freeman who brings great depth and dignity to the part) who is in the last week of his employ with the police department. Partnering him is a young, eager-to-kick-some-evil-butt cop Detective Mills (Brad Pitt whose callowness works perfectly for his character). After killing an overweight man by force-feeding him to death in the name of gluttony and bleeding to death a lawyer for greed, the anonymous killer is now turning his attention to the five remaining deadly sins. As the two men investigate, the gulf between their respective world-views begins to inform everything about how they respond to the savagery of these crimes.

It is impossible to deny the potency and artistry with which Fincher executes the material. Although very little of each murder is shown, the director expertly allows suggestion to lead the appalled viewer towards the truly cataclysmic climax. Fincher's sepia-toned gloom successfully lends the film the knock-out punch it intends to. Purposely draining his landscapes of color, and setting all the tense action against rain-washed streets and under-lit interiors, Fincher evokes an atmosphere of nightmarish proportions as he unfolds a gripping tale of urban horror.

Se7en is riveting in a gut-twisting way. It plays out at an engaging pace destined to entrance you with its abject horror. The film is as dark and brutal as a film can be, without showing much actual violence. Most of the stuff in the film is implied, but it's so damn disturbing that you feel like you actually saw it. And that is the beauty of Se7en!",10
25 March 2002,"""Se7en is well crafted and ingeniously clever, making it one of the greatest films of the 90's""","The movie, ""Se7en"", starring Brad Pitt, Morgan Freeman, and Gwyneth Paltrow, is by far one of the most inventive, well-written, and cerebral films in recent history. The film, blending a well put together combination of dark visual style, intense plot development, and polished acting, remains tight and focused throughout, from beginning to end, never straying outwards into unimportant issues, or resorting to typical Hollywood clichés. Se7en is uniquely on its own for suspense dramas as it both fuels the need of the audience to be drawn in and entertained by the events unfolding, and remain uncompromising and shocking, thus satisfying the initial vision of the director, David Fincher.

The story surrounds the hunt for a serial killer, who, inspired by Dante Alighieri's seven deadly sins from ""The Divine Comedy"", sets out to, ""preach"" about man's impurity, and does so by targeting victims, then torturing them by pitting their own underlining sins against them. Se7en seemingly starts out as a typical cat and mouse detective story, however, it quickly develops into of a sort of modern-myth, with good and evil taking centre stage. The story is original on all counts, and thrilling on all levels. The most important aspect of Se7en, however, is that it keeps the audience numerous steps behind its story, as oppose to other thrillers, which become predictable and bland by the end. By keeping the audience in the dark, the film remains fresh and original as it progresses. Se7en even dramatically turns the tide at one point, just as the audience is finally getting comfortable and asserted into the gloomy atmosphere, thus creating as much as fear and uncertainty in the audience as it is with the characters involved. By the film's conclusion, the audience is as much apart of the film as the characters themselves, and arrive at Se7en's surprise ending without a single clue of it, prior to it occurring. Se7en's poetic ending(which will not be given away) says a lot for the people behind the movie, showing they are not afraid of going against the grain. A rarity with films so nowadays.

Directed brilliantly by David Fincher, and skillfully written by Andrew Kevin Walker, Se7en is well crafted and ingeniously clever, making it one of the greatest films of the 90's. While Se7en may not have garnered critical acclaim as such films as Silence of the Lambs, Se7en is, undoubtedly, as influential as any film to date.

Score 10/10",10
20 November 2015,"Dark, grisly, and highly intelligent edge-of-your-seat thriller","David Fincher has been one of most thoughtful directors in Hollywood for many years, and his ingenious filmmaking all started in the mid- 1990s with this grim, but intelligently crafted psychological thriller. This film follows David Mills (played by Brad Pitt), a newly transferred police detective in an unnamed crime-ridden metropolitan city, who is partner with an old veteran detective William Somerset (played by Morgan Freeman) who is on the verge of retirement, to investigate a string of gruesome murders all around the city. These murders happen to correlate with the seven deadly sins which include: gluttony, greed, sloth, lust, pride, envy, and wrath. Mills and Somerset take in matters in their own hands to hunt down the sadistic serial killer (played by an actor who I'm gonna keep a secret) responsible for the grisly murders, only to be faced with a scarring truth about his intentions.

This David Fincher masterpiece is not a horror film, but it certainly sits directly at the borderline of one. Complete with eerie visuals and near non-stop suspense from start to finish, this film pulls audience into an unflinchingly grim atmosphere that leaves shivers down their spine and rarely lightens up. To add more to the dark tone, it rain in nearly every scene taking place outside to give them a more somber look. As the plot progresses, the audience are treated with nauseating afterviews of the serial killer's murder. But instead of having the camera linger over the gory details of the victims, we are giving heavy implications of how they particularly occurred. These scenes do just enough without the suspenseful music score to leave viewers at the edge of their seats. Then there is the serial killer himself who is portrayed as very sadistic, almost Lecter Hannibul-like, and creepy in appearance. His way of outwitting the main characters are quite shocking. The actor who plays him does an incredible job on his portrayal. As the story continues on, it builds up to one of the most haunting conclusions ever put to film, an ending that really pushes the boundaries. Ultimately, it works pretty well.

Se7en is one of the well-crafted and twisted thrillers I've ever seen and one of the spine-chilling films Hollywood has to offer, thanks to the incredible camera-work, brilliant direction by David Fincher and fantastic script by Andrew Kevin Walker. Brad Pitt and Morgan Freeman who play the main characters show amazing chemistry on screen together and their performances work pretty well. While the film is really great, it is definitely not recommended for the faint of heart.",10
